比例代表区,自由民主党,立憲民主党,公明党,日本維新の会,日本共産党,国民民主党,ＮＨＫと裁判してる党,れいわ新選組,社会民主党
北海道,863300,682912.582,294371,215344,207189,73621.234,42916,102086,41248
東北,1628233,991504.731,456287,258690,292830,195754.044,52664,143265,101442
北関東,2172065,1391148.629,823930,617531,444115,298056.173,87702,239592,97963
南関東,2590787,1651562.002,850667,863897,534493,384481.849,111298,302675,124447
東京都,2000084,1293281.168,715450,858577,670340,306179.757,92353,360387,92995
北陸信越,1468380,773076.099,322535,361476,225551,133599.732,43529,111281,71185
東海,2515841,1485947.258,784976,694630,408606,382733.551,98238,273208,84220
近畿,2407699,1090665.759,1155683,3180219,736156,303480.001,111539,292483,100980
中国,1352723,573324.356,436220,286302,173117,113898.513,36758,94446,52638
四国,664805,291870.696,233407,173826,108021,122082.207,21285,52941,30249
九州,2250966,1266801.442,1040756,540338,365658,279509.18,98506,243284,221221
